,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,Unnamed: 13
0,182D050123,TB,98.22,98.22,98.22,98.22,98.22,97.27,3000,294660.0,23-NOV-2022,1,IN002022Y146,
1,182D120123,TB,98.1,98.1,98.1,98.1,98.1,97.23,2000,196200.0,23-NOV-2022,1,IN002022Y153,
2,182D180523,TB,97.0,97.0,97.0,97.0,97.0,96.78,200,19400.0,23-NOV-2022,1,IN002022Y344,
3,182D230323,TB,97.1,97.1,97.1,97.1,97.1,97.2,100,9710.0,23-NOV-2022,1,IN002022Y260,
4,20MICRONS,EQ,91.7,92.3,90.2,90.95,91.2,91.3,66125,6035751.0,23-NOV-2022,2176,INE144J01027,
5,21STCENMGM,EQ,22.4,22.6,22.0,22.4,22.55,22.4,5030,112420.35,23-NOV-2022,69,INE253B01015,
6,364D070923,TB,94.6,94.6,94.1,94.1,94.1,94.6,4600,434360.0,23-NOV-2022,4,IN002022Z234,
7,364D140923,TB,94.08,94.08,94.08,94.08,94.08,99.03,6100,573888.0,23-NOV-2022,7,IN002022Z242,
8,364D161123,TB,93.05,93.3,93.0,93.3,93.3,93.3,5700,531065.0,23-NOV-2022,5,IN002022Z333,
9,364D240823,TB,94.11,94.11,94.11,94.11,94.11,93.0,100,9411.0,23-NOV-2022,1,IN002022Z218,
10,3IINFOLTD,EQ,42.3,42.4,41.8,41.9,41.8,42.1,228492,9607074.05,23-NOV-2022,1929,INE748C01038,
11,3MINDIA,EQ,23248.0,23248.0,22900.0,22974.45,22945.0,23168.15,2450,56481631.95,23-NOV-2022,1292,INE470A01017,
12,3PLAND,EQ,17.25,17.6,16.2,16.5,16.35,17.2,26261,434174.75,23-NOV-2022,132,INE105C01023,
13,4THDIM,EQ,87.9,91.1,87.6,87.6,87.6,89.35,6571,585638.3,23-NOV-2022,147,INE382T01022,
14,5PAISA,EQ,307.75,316.0,305.55,314.8,316.0,306.6,34364,10741081.05,23-NOV-2022,2426,INE618L01018,
15,63MOONS,EQ,144.1,147.0,143.45,144.95,143.7,143.05,19621,2849541.5,23-NOV-2022,874,INE111B01023,
16,667GS2050,GS,97.74,97.74,96.6,96.6,96.6,97.69,846,81933.86,23-NOV-2022,7,IN0020200252,
17,669GS2024,GS,102.2,102.2,102.2,102.2,102.2,102.0,200,20440.0,23-NOV-2022,2,IN0020220052,
18,695GS2061,GS,98.0,98.0,98.0,98.0,98.0,96.1,10,980.0,23-NOV-2022,1,IN0020210202,
19,699GS2051,GS,97.0,98.04,96.91,98.04,98.04,96.91,1001,97010.38,23-NOV-2022,6,IN0020210194,
20,710GS2029,GS,100.45,100.45,99.91,99.91,99.91,99.9,3100,309775.0,23-NOV-2022,2,IN0020220011,
21,719GS2060,GS,101.0,101.0,101.0,101.0,101.0,97.5,1,101.0,23-NOV-2022,1,IN0020200039,
22,74GS2062,GS,101.99,101.99,101.0,101.01,101.01,100.85,4168,420969.99,23-NOV-2022,4,IN0020220094,
23,754GS2036,GS,102.0,102.0,101.65,101.66,101.66,101.84,64046,6516743.75,23-NOV-2022,80,IN0020220029,
24,91D020223,TB,98.41,98.41,98.41,98.41,98.41,98.3,1000,98410.0,23-NOV-2022,3,IN002022X312,
25,91D081222,TB,99.28,99.28,99.28,99.28,99.28,99.05,100,9928.0,23-NOV-2022,1,IN002022X239,
26,91D151222,TB,99.2,99.2,99.2,99.2,99.2,99.2,200,19840.0,23-NOV-2022,2,IN002022X247,
27,91D160223,TB,98.2,98.2,98.2,98.2,98.2,98.2,500,49100.0,23-NOV-2022,5,IN002022X338,
28,A2ZINFRA,EQ,10.6,11.25,10.25,10.75,10.7,10.4,1032643,11075912.8,23-NOV-2022,1169,INE619I01012,
29,AAKASH,EQ,7.6,7.85,7.35,7.4,7.6,7.7,890247,6628818.65,23-NOV-2022,1687,INE087Z01024,
30,AAREYDRUGS,EQ,36.6,36.9,36.0,36.25,36.25,36.2,17224,625521.3,23-NOV-2022,220,INE198H01019,
31,AARON,BE,155.2,160.0,155.2,158.95,159.2,158.35,2958,466061.8,23-NOV-2022,74,INE721Z01010,
32,AARTIDRUGS,EQ,460.45,463.0,451.0,452.5,451.8,461.0,60723,27792844.75,23-NOV-2022,4572,INE767A01016,
33,AARTIIND,EQ,677.95,677.95,659.0,662.0,660.5,672.45,689572,458665149.05,23-NOV-2022,22104,INE769A01020,
34,AARTISURF,EQ,708.15,764.8,705.05,714.2,705.1,701.15,42457,31379094.1,23-NOV-2022,3589,INE09EO01013,
35,AARVEEDEN,EQ,23.8,24.95,23.8,23.85,23.8,24.15,21556,520359.95,23-NOV-2022,166,INE273D01019,
36,AARVI,EQ,165.15,165.15,155.65,161.55,163.0,163.05,29903,4854914.65,23-NOV-2022,850,INE754X01016,
37,AAVAS,EQ,1936.0,1944.85,1902.1,1912.2,1915.0,1932.75,28602,54833236.35,23-NOV-2022,6093,INE216P01012,
38,ABAN,EQ,47.15,48.9,46.55,47.9,47.9,46.85,129802,6202107.9,23-NOV-2022,2145,INE421A01028,
39,ABB,EQ,3071.0,3108.85,3056.4,3099.3,3097.35,3059.45,331230,1022294693.7,23-NOV-2022,30663,INE117A01022,
40,ABBOTINDIA,EQ,19720.0,20195.0,19638.1,20037.15,20000.0,19730.8,19234,385102046.25,23-NOV-2022,6043,INE358A01014,
41,ABCAPITAL,EQ,126.0,129.85,125.7,129.0,128.9,125.7,3021224,386802324.25,23-NOV-2022,18829,INE674K01013,
42,ABCOTS,SM,46.05,46.05,46.05,46.05,46.05,45.55,4000,184200.0,23-NOV-2022,1,INE08PH01015,
43,ABFRL,EQ,310.0,311.55,305.05,305.95,305.15,309.35,1759595,541350518.45,23-NOV-2022,13366,INE647O01011,
44,ABMINTLLTD,BE,70.35,70.35,70.2,70.2,70.2,67.0,15,1053.55,23-NOV-2022,4,INE251C01025,
45,ABSLAMC,EQ,420.95,420.95,417.6,418.1,418.3,420.95,92228,38713305.7,23-NOV-2022,2024,INE404A01024,
46,ABSLBANETF,EQ,44.52,44.77,42.42,42.83,42.84,42.42,73494,3158631.34,23-NOV-2022,216,INF209KB17D5,
47,ABSLNN50ET,EQ,43.26,44.44,43.2,43.8,43.6,43.72,3266,143236.87,23-NOV-2022,74,INF209KB16D7,
48,ACC,EQ,2469.9,2480.0,2444.05,2458.9,2460.0,2460.85,278487,685493215.6,23-NOV-2022,16756,INE012A01025,
49,ACCELYA,EQ,1570.0,1570.0,1515.0,1533.0,1530.0,1549.0,22440,34454555.6,23-NOV-2022,4346,INE793A01012,
50,ACCURACY,EQ,176.4,182.5,175.0,177.65,177.9,177.2,18322,3278057.25,23-NOV-2022,609,INE648Z01015,
51,ACE,EQ,317.85,325.0,317.3,320.65,319.0,315.55,369297,118792838.85,23-NOV-2022,8730,INE731H01025,
