,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,Unnamed: 13
0,1018GS2026,GS,105.98,105.98,105.98,105.98,105.98,111.5,1,105.98,14-NOV-2022,1,IN0020010081,
1,182D090323,TB,97.15,97.5,97.15,97.44,97.5,96.7,600,58465.0,14-NOV-2022,2,IN002022Y245,
2,182D160323,TB,97.0,97.0,97.0,97.0,97.0,97.35,100,9700.0,14-NOV-2022,1,IN002022Y252,
3,20MICRONS,EQ,95.9,95.9,92.4,92.7,93.0,95.4,166512,15525290.7,14-NOV-2022,3296,INE144J01027,
4,21STCENMGM,EQ,22.75,23.3,22.75,22.75,22.75,23.2,3820,87418.3,14-NOV-2022,60,INE253B01015,
5,364D191023,TB,95.0,95.0,95.0,95.0,95.0,95.5,300,28500.0,14-NOV-2022,3,IN002022Z291,
6,3IINFOLTD,EQ,43.6,43.65,42.5,42.75,42.85,43.6,435962,18735396.65,14-NOV-2022,2764,INE748C01038,
7,3MINDIA,EQ,23799.0,24648.0,23630.2,24483.7,24462.2,23680.85,7862,190991439.4,14-NOV-2022,4095,INE470A01017,
8,3PLAND,EQ,17.0,17.6,16.8,17.0,17.1,17.0,4836,81890.85,14-NOV-2022,122,INE105C01023,
9,4THDIM,EQ,85.9,87.05,83.65,85.6,83.65,85.35,3384,289716.65,14-NOV-2022,81,INE382T01022,
10,515GS2025,GS,93.76,93.76,93.76,93.76,93.76,93.77,9700,909472.0,14-NOV-2022,1,IN0020200278,
11,522GS2025,GS,96.0,97.35,95.75,97.35,97.35,96.0,1660,160799.05,14-NOV-2022,8,IN0020200112,
12,5PAISA,EQ,320.0,321.95,310.35,314.5,313.0,318.55,16676,5283945.5,14-NOV-2022,1113,INE618L01018,
13,63MOONS,EQ,153.1,156.45,152.0,153.75,154.15,155.45,44539,6844426.0,14-NOV-2022,1539,INE111B01023,
14,654GS2032,GS,98.1,98.1,98.1,98.1,98.1,97.16,100,9810.0,14-NOV-2022,1,IN0020210244,
15,664GS2035,GS,95.8,96.9,95.8,96.32,96.85,99.52,50000,4816750.0,14-NOV-2022,4,IN0020210020,
16,667GS2050,GS,95.0,95.0,95.0,95.0,95.0,94.79,71,6745.0,14-NOV-2022,4,IN0020200252,
17,669GS2024,GS,101.3,101.3,101.3,101.3,101.3,102.0,100,10130.0,14-NOV-2022,1,IN0020220052,
18,676GS2061,GS,98.0,98.0,98.0,98.0,98.0,96.15,20,1960.0,14-NOV-2022,1,IN0020200401,
19,699GS2051,GS,97.5,97.6,97.04,97.6,97.6,97.12,1396,135901.64,14-NOV-2022,6,IN0020210194,
20,710GS2029,GS,100.05,100.5,99.7,99.92,99.8,100.0,19100,1908743.25,14-NOV-2022,42,IN0020220011,
21,716GS2050,GS,104.0,104.0,104.0,104.0,104.0,103.5,25,2600.0,14-NOV-2022,1,IN0020200054,
22,726GS2032,GS,101.01,101.02,101.0,101.02,101.02,101.25,5038,508878.1,14-NOV-2022,6,IN0020220060,
23,727GS2026,GS,102.25,102.25,102.25,102.25,102.25,102.0,199,20347.75,14-NOV-2022,3,IN0020190016,
24,736GS2052,GS,100.5,100.5,100.5,100.5,100.5,100.91,1000,100500.0,14-NOV-2022,1,IN0020220086,
25,738GS2027,GS,104.5,104.5,104.0,104.0,104.0,104.5,3200,333800.0,14-NOV-2022,5,IN0020220037,
26,74GS2062,GS,99.0,100.0,96.1,100.0,100.0,99.99,11080,1076829.0,14-NOV-2022,6,IN0020220094,
27,754GS2036,GS,104.7,105.45,104.7,105.25,105.25,104.6,24195,2540928.0,14-NOV-2022,12,IN0020220029,
28,91D011222,TB,98.51,98.52,98.51,98.52,98.52,98.51,400,39405.0,14-NOV-2022,3,IN002022X221,
29,91D020223,TB,98.0,98.0,98.0,98.0,98.0,98.0,200,19600.0,14-NOV-2022,1,IN002022X312,
30,91D050123,TB,98.04,98.04,98.04,98.04,98.04,96.14,100,9804.0,14-NOV-2022,1,IN002022X270,
31,91D081222,TB,99.03,99.05,99.03,99.05,99.05,99.0,1900,188193.0,14-NOV-2022,5,IN002022X239,
32,91D151222,TB,99.25,99.25,99.0,99.0,99.0,99.25,200,19825.0,14-NOV-2022,2,IN002022X247,
33,A2ZINFRA,EQ,11.1,11.35,10.9,11.0,11.0,11.2,728678,8020094.2,14-NOV-2022,685,INE619I01012,
34,AAKASH,EQ,10.4,10.4,10.0,10.0,10.0,10.5,1024409,10261436.0,14-NOV-2022,1511,INE087Z01024,
35,AAREYDRUGS,EQ,39.4,39.7,38.25,38.7,38.5,38.95,20647,799827.3,14-NOV-2022,300,INE198H01019,
36,AARON,BE,166.0,168.15,162.0,165.9,168.0,162.45,11575,1919748.9,14-NOV-2022,248,INE721Z01010,
37,AARTIDRUGS,EQ,467.35,467.35,460.05,462.85,464.0,465.05,34621,16010377.05,14-NOV-2022,3692,INE767A01016,
38,AARTIIND,BL,715.8,715.8,715.8,715.8,715.8,744.9,422258,302252276.4,14-NOV-2022,1,INE769A01020,
39,AARTIIND,EQ,717.0,717.7,699.2,705.5,705.35,715.8,501856,354451862.65,14-NOV-2022,21793,INE769A01020,
40,AARTISURF,EQ,739.2,739.2,729.95,734.05,735.0,733.1,3707,2717202.45,14-NOV-2022,654,INE09EO01013,
41,AARVEEDEN,EQ,24.95,26.5,24.8,25.3,25.25,24.8,12392,315802.75,14-NOV-2022,113,INE273D01019,
42,AARVI,EQ,157.5,158.0,151.8,152.45,152.05,155.45,22229,3419840.25,14-NOV-2022,678,INE754X01016,
43,AAVAS,EQ,2002.9,2054.6,1986.05,2024.2,2022.0,2008.65,71852,145894512.45,14-NOV-2022,21743,INE216P01012,
44,ABAN,EQ,50.0,50.0,49.55,49.75,49.9,49.7,70696,3516188.7,14-NOV-2022,836,INE421A01028,
45,ABB,EQ,3156.0,3213.55,3011.1,3025.2,3024.6,3155.85,560133,1721046633.85,14-NOV-2022,53359,INE117A01022,
46,ABBOTINDIA,EQ,19431.65,20108.5,19215.05,19939.3,19848.0,19315.8,52058,1029917740.2,14-NOV-2022,15262,INE358A01014,
47,ABCAPITAL,EQ,128.5,131.3,127.05,130.4,130.1,128.45,4796492,622707932.15,14-NOV-2022,22633,INE674K01013,
48,ABFRL,EQ,319.05,323.15,313.5,314.6,314.45,318.9,2009173,638929737.1,14-NOV-2022,19128,INE647O01011,
49,ABINFRA,SM,13.0,13.0,13.0,13.0,13.0,13.6,4000,52000.0,14-NOV-2022,1,INE00YB01017,
50,ABMINTLLTD,BE,68.85,72.0,68.85,69.2,69.0,68.8,481,33217.1,14-NOV-2022,14,INE251C01025,
51,ABSLAMC,EQ,430.0,432.6,425.0,426.35,426.5,429.25,43533,18656838.55,14-NOV-2022,2828,INE404A01024,
52,ABSLBANETF,EQ,42.6,42.6,41.67,42.22,42.5,42.18,1328917,56132970.23,14-NOV-2022,689,INF209KB17D5,
53,ABSLNN50ET,EQ,43.53,44.98,43.53,44.46,44.46,44.36,2962,132063.58,14-NOV-2022,79,INF209KB16D7,
54,ACC,BL,2390.65,2390.65,2390.65,2390.65,2390.65,2440.0,123363,294917755.95,14-NOV-2022,1,INE012A01025,
55,ACC,EQ,2400.0,2456.7,2379.0,2435.45,2431.5,2390.65,557530,1353313693.5,14-NOV-2022,28375,INE012A01025,
56,ACCELYA,EQ,1489.0,1568.0,1473.05,1551.45,1567.75,1471.45,202110,310982679.8,14-NOV-2022,14903,INE793A01012,
57,ACCURACY,EQ,212.0,212.0,199.0,200.6,200.9,206.55,69930,14070719.3,14-NOV-2022,1835,INE648Z01015,
58,ACE,EQ,329.0,347.2,326.5,345.1,347.0,324.35,1912210,651479525.9,14-NOV-2022,33420,INE731H01025,
59,ACEINTEG,EQ,55.95,55.95,54.0,55.95,55.95,53.3,5901,328530.15,14-NOV-2022,92,INE543V01017,
60,ACRYSIL,EQ,492.1,497.2,473.25,480.3,483.75,491.9,109261,52539845.55,14-NOV-2022,6641,INE482D01024,
61,ADANIENT,BL,4008.85,4008.85,4008.85,4008.85,4008.85,3580.7,434843,1743220360.55,14-NOV-2022,1,INE423A01024,
62,ADANIENT,EQ,3999.0,4078.0,3990.0,4022.55,4024.1,4008.85,1803092,7276060178.75,14-NOV-2022,76145,INE423A01024,
63,ADANIGREEN,BL,2196.7,2196.7,2196.7,2196.7,2196.7,2137.05,489592,1075486746.4,14-NOV-2022,1,INE364U01010,
64,ADANIGREEN,EQ,2200.0,2200.0,2160.0,2178.55,2176.0,2196.7,628699,1369860521.15,14-NOV-2022,29630,INE364U01010,
65,ADANIPORTS,BL,894.5,894.5,894.5,894.5,894.5,833.4,801216,716687712.0,14-NOV-2022,1,INE742F01042,
66,ADANIPORTS,EQ,895.0,907.5,885.0,895.05,893.95,894.5,7653024,6883541359.35,14-NOV-2022,90012,INE742F01042,
67,ADANIPOWER,BE,348.15,365.05,342.2,359.8,358.5,360.2,3238002,1137621306.95,14-NOV-2022,44239,INE814H01011,
