,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,Unnamed: 13
0,182D230323,TB,96.9,97.2,96.9,97.2,97.2,96.0,2100,203550.0,22-NOV-2022,3,IN002022Y260,
1,20MICRONS,EQ,90.1,92.4,90.1,91.3,91.0,89.85,81087,7403534.6,22-NOV-2022,2653,INE144J01027,
2,21STCENMGM,EQ,21.8,22.4,21.8,22.4,22.4,22.0,3152,69935.9,22-NOV-2022,37,INE253B01015,
3,364D070923,TB,94.6,94.6,94.6,94.6,94.6,94.5,400,37840.0,22-NOV-2022,1,IN002022Z234,
4,364D161123,TB,92.0,93.3,92.0,93.3,93.3,93.5,4000,369150.0,22-NOV-2022,7,IN002022Z333,
5,364D170823,TB,94.0,94.05,94.0,94.0,94.0,93.45,3600,338405.0,22-NOV-2022,5,IN002022Z200,
6,3IINFOLTD,EQ,42.7,43.2,42.0,42.1,42.2,42.5,343236,14556201.1,22-NOV-2022,2830,INE748C01038,
7,3MINDIA,EQ,23600.0,23738.45,23001.0,23168.15,23100.0,23738.55,2662,62130144.8,22-NOV-2022,1442,INE470A01017,
8,3PLAND,EQ,16.6,17.35,16.55,17.2,17.25,16.85,1362,23285.25,22-NOV-2022,45,INE105C01023,
9,4THDIM,EQ,87.95,90.25,86.95,89.35,89.9,88.5,7448,664557.2,22-NOV-2022,81,INE382T01022,
10,522GS2025,GS,97.35,97.35,97.35,97.35,97.35,97.35,400,38940.0,22-NOV-2022,2,IN0020200112,
11,574GS2026,GS,95.5,95.5,95.5,95.5,95.5,97.8,1000,95500.0,22-NOV-2022,1,IN0020210186,
12,577GS2030,GS,92.35,92.35,92.32,92.32,92.32,91.0,500,46172.0,22-NOV-2022,2,IN0020200153,
13,5PAISA,EQ,307.35,311.95,305.0,306.6,307.75,307.5,17948,5513201.6,22-NOV-2022,1377,INE618L01018,
14,619GS2034,GS,91.9,91.9,91.9,91.9,91.9,91.9,100,9190.0,22-NOV-2022,1,IN0020200096,
15,63MOONS,EQ,142.5,146.95,142.2,143.05,143.35,142.15,39471,5709592.4,22-NOV-2022,1555,INE111B01023,
16,654GS2032,GS,96.35,96.35,96.35,96.35,96.35,98.1,100,9635.0,22-NOV-2022,1,IN0020210244,
17,667GS2035,GS,97.1,97.1,97.1,97.1,97.1,97.1,1,97.1,22-NOV-2022,1,IN0020210152,
18,667GS2050,GS,93.02,97.69,93.01,97.69,97.69,96.5,1501,139720.24,22-NOV-2022,17,IN0020200252,
19,669GS2024,GS,102.0,102.0,102.0,102.0,102.0,102.0,600,61200.0,22-NOV-2022,2,IN0020220052,
20,695GS2061,GS,97.0,97.2,96.01,96.1,96.1,95.0,3475,337024.67,22-NOV-2022,10,IN0020210202,
21,695PN31,SG,83.0,83.0,83.0,83.0,83.0,81.47,100,8300.0,22-NOV-2022,1,IN2820210028,
