,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,Unnamed: 13
0,182D300323,TB,96.7,96.7,96.7,96.7,96.7,96.7,500,48350.0,29-NOV-2022,1,IN002022Y278,
1,20MICRONS,EQ,93.45,94.8,92.7,93.2,93.05,93.25,76096,7123618.6,29-NOV-2022,1919,INE144J01027,
2,21STCENMGM,EQ,22.4,22.95,22.4,22.7,22.6,22.85,6305,143241.1,29-NOV-2022,67,INE253B01015,
3,364D060723,TB,92.0,92.0,92.0,92.0,92.0,92.0,200,18400.0,29-NOV-2022,1,IN002022Z143,
4,364D091123,TB,94.5,94.5,94.5,94.5,94.5,94.5,100,9450.0,29-NOV-2022,1,IN002022Z325,
5,364D161123,TB,93.67,93.67,93.67,93.67,93.67,93.6,400,37468.0,29-NOV-2022,3,IN002022Z333,
6,364D170823,TB,95.0,95.0,95.0,95.0,95.0,94.7,600,57000.0,29-NOV-2022,2,IN002022Z200,
7,364D200723,TB,90.06,90.06,90.06,90.06,90.06,90.0,100,9006.0,29-NOV-2022,1,IN002022Z168,
8,364D210923,TB,94.0,94.0,94.0,94.0,94.0,94.5,500,47000.0,29-NOV-2022,1,IN002022Z259,
9,364D290623,TB,95.55,95.59,95.55,95.59,95.59,94.2,2200,210254.0,29-NOV-2022,3,IN002022Z135,
10,3IINFOLTD,EQ,43.8,43.9,42.45,42.8,43.0,43.4,446271,19266892.75,29-NOV-2022,2664,INE748C01038,
11,3MINDIA,EQ,23239.05,23465.75,23066.3,23399.95,23449.0,23239.05,1970,45946213.4,29-NOV-2022,1146,INE470A01017,
12,3PLAND,EQ,17.35,17.35,16.45,16.6,16.6,16.8,3211,53360.9,29-NOV-2022,70,INE105C01023,
13,4THDIM,EQ,85.4,85.9,84.05,84.6,84.6,84.35,202751,17128371.8,29-NOV-2022,448,INE382T01022,
14,5PAISA,EQ,315.55,315.55,306.0,308.5,310.0,312.45,36909,11489586.6,29-NOV-2022,1480,INE618L01018,
15,63MOONS,EQ,154.1,155.5,150.1,151.35,150.4,153.95,26153,3993832.25,29-NOV-2022,1014,INE111B01023,
16,667GS2050,GS,94.99,94.99,94.99,94.99,94.99,94.99,1736,164902.64,29-NOV-2022,8,IN0020200252,
17,669GS2024,GS,100.21,103.0,100.0,103.0,103.0,102.5,1751,175724.92,29-NOV-2022,6,IN0020220052,
18,676GS2061,GS,99.0,99.0,97.2,97.29,97.2,99.0,405,39864.6,29-NOV-2022,4,IN0020200401,
19,695GS2061,GS,97.39,97.4,97.39,97.39,97.4,97.4,8121,790951.86,29-NOV-2022,9,IN0020210202,
20,699GS2051,GS,102.89,102.89,100.37,100.37,100.37,98.0,2,203.26,29-NOV-2022,2,IN0020210194,
21,710GS2029,GS,100.5,100.5,100.4,100.4,100.44,100.2,10255,1029723.3,29-NOV-2022,7,IN0020220011,
22,726GS2032,GS,102.5,102.5,102.5,102.5,102.5,102.79,500,51250.0,29-NOV-2022,1,IN0020220060,
23,736GS2052,GS,101.25,101.25,100.75,101.25,101.25,102.0,190,19187.5,29-NOV-2022,3,IN0020220086,
24,738GS2027,GS,105.0,105.0,104.45,104.6,104.6,105.0,39718,4154494.6,29-NOV-2022,19,IN0020220037,
25,74GS2062,GS,102.0,102.0,100.0,101.25,101.25,101.75,23944,2429756.65,29-NOV-2022,18,IN0020220094,
26,754GS2036,GS,101.76,101.76,101.5,101.67,101.73,101.74,124583,12664940.71,29-NOV-2022,57,IN0020220029,
27,772GS2055,GS,103.0,103.0,103.0,103.0,103.0,104.0,21,2163.0,29-NOV-2022,1,IN0020150077,
28,91D160223,TB,98.5,98.5,98.5,98.5,98.5,98.5,400,39400.0,29-NOV-2022,4,IN002022X338,
29,A2ZINFRA,EQ,10.75,10.95,10.7,10.8,10.85,10.75,133017,1437158.65,29-NOV-2022,292,INE619I01012,
30,AAATECH,EQ,82.65,82.65,74.85,74.9,74.85,78.75,121617,9709195.65,29-NOV-2022,1074,INE0D0U01013,
31,AAKASH,EQ,8.3,8.4,8.0,8.15,8.3,8.2,433027,3570431.65,29-NOV-2022,1087,INE087Z01024,
32,AAREYDRUGS,EQ,38.1,38.1,37.0,37.25,37.6,37.75,35481,1326410.55,29-NOV-2022,340,INE198H01019,
33,AARON,BE,156.6,160.9,156.6,157.85,158.0,159.6,3549,560450.85,29-NOV-2022,152,INE721Z01010,
34,AARTIDRUGS,EQ,451.0,455.0,448.1,452.6,453.95,450.85,77270,34875904.0,29-NOV-2022,3921,INE767A01016,
35,AARTIIND,EQ,674.85,681.9,668.0,669.65,668.5,671.45,664222,447589897.75,29-NOV-2022,22089,INE769A01020,
36,AARTISURF,EQ,720.45,727.85,714.0,717.45,714.0,719.35,8153,5859781.7,29-NOV-2022,900,INE09EO01013,
37,AARVEEDEN,EQ,23.9,24.75,23.15,24.35,24.45,23.45,11931,286333.6,29-NOV-2022,133,INE273D01019,
38,AARVI,EQ,195.0,203.0,188.4,191.2,189.65,185.9,196807,38728522.65,29-NOV-2022,4856,INE754X01016,
39,AAVAS,EQ,1939.0,1965.5,1924.55,1936.5,1939.0,1923.85,54588,106285286.15,29-NOV-2022,7441,INE216P01012,
40,ABAN,EQ,48.5,50.5,48.5,49.35,49.05,48.55,177109,8765284.85,29-NOV-2022,2008,INE421A01028,
41,ABB,EQ,3105.0,3113.5,3010.0,3015.2,3013.95,3103.35,383945,1167018372.55,29-NOV-2022,38531,INE117A01022,
42,ABBOTINDIA,EQ,20089.25,20224.9,20089.25,20169.55,20200.0,20130.75,5962,120219530.8,29-NOV-2022,2772,INE358A01014,
43,ABCAPITAL,EQ,137.15,147.55,137.0,144.1,144.0,137.05,28477714,4103015828.8,29-NOV-2022,125835,INE674K01013,
44,ABCOTS,SM,47.5,51.0,47.5,51.0,51.0,46.5,40000,1946400.0,29-NOV-2022,10,INE08PH01015,
45,ABFRL,EQ,316.0,316.95,307.75,310.35,309.85,312.1,2534498,789628492.05,29-NOV-2022,28780,INE647O01011,
46,ABMINTLLTD,BE,69.1,69.1,69.0,69.0,69.0,66.6,201,13870.1,29-NOV-2022,8,INE251C01025,
47,ABSLAMC,EQ,435.0,435.0,422.8,429.45,429.5,432.9,287825,123595820.95,29-NOV-2022,5593,INE404A01024,
48,ABSLBANETF,EQ,47.99,47.99,42.91,43.2,44.0,42.99,2814622,121324137.39,29-NOV-2022,1446,INF209KB17D5,
49,ABSLNN50ET,EQ,44.51,44.51,44.12,44.35,44.27,44.11,6323,280366.12,29-NOV-2022,59,INF209KB16D7,
50,ACC,EQ,2538.0,2562.0,2506.0,2514.05,2514.0,2527.1,474639,1203786585.5,29-NOV-2022,25533,INE012A01025,
