,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,Unnamed: 13
0,182D151222,TB,99.5,99.5,99.5,99.5,99.5,98.74,100,9950.0,15-NOV-2022,1,IN002022Y112,
1,20MICRONS,EQ,93.15,99.9,92.25,98.1,98.05,92.7,510509,49987188.95,15-NOV-2022,9777,INE144J01027,
2,21STCENMGM,EQ,22.75,22.95,22.3,22.3,22.3,22.75,13017,293604.25,15-NOV-2022,91,INE253B01015,
3,364D130723,TB,94.75,94.75,94.75,94.75,94.75,94.75,200,18950.0,15-NOV-2022,1,IN002022Z150,
4,364D191023,TB,95.0,96.0,95.0,95.0,95.0,95.0,500,47700.0,15-NOV-2022,4,IN002022Z291,
5,364D210923,TB,94.0,94.0,94.0,94.0,94.0,94.0,2000,188000.0,15-NOV-2022,2,IN002022Z259,
6,3IINFOLTD,EQ,42.5,43.25,42.45,42.75,42.75,42.75,411099,17593564.25,15-NOV-2022,2803,INE748C01038,
7,3MINDIA,EQ,24650.0,24900.0,23844.15,24134.4,24100.0,24483.7,6457,158174246.65,15-NOV-2022,3201,INE470A01017,
8,3PLAND,EQ,17.0,17.3,16.7,16.95,16.75,17.0,3789,64133.8,15-NOV-2022,76,INE105C01023,
9,4THDIM,EQ,87.0,87.3,83.9,84.5,84.5,85.6,1679,142169.55,15-NOV-2022,67,INE382T01022,
10,5PAISA,EQ,319.0,319.0,310.3,314.0,313.0,314.5,20470,6430755.9,15-NOV-2022,1416,INE618L01018,
11,63MOONS,EQ,153.0,163.95,152.65,157.75,156.8,153.75,76221,12041972.75,15-NOV-2022,1914,INE111B01023,
12,664GS2035,GS,96.3,96.3,95.85,95.88,95.85,96.32,3300,317665.0,15-NOV-2022,4,IN0020210020,
13,667GS2035,GS,93.2,97.99,93.2,97.0,97.0,97.99,1214,117911.72,15-NOV-2022,5,IN0020210152,
14,667GS2050,GS,95.0,95.0,92.6,92.6,92.6,95.0,63,5980.2,15-NOV-2022,4,IN0020200252,
15,669GS2024,GS,101.6,101.6,101.6,101.6,101.6,101.3,100,10160.0,15-NOV-2022,1,IN0020220052,
