,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,Unnamed: 13
0,182D050123,TB,98.25,98.25,98.25,98.25,98.25,98.25,1100,108075.0,01-DEC-2022,1,IN002022Y146,
1,182D130423,TB,97.0,97.0,97.0,97.0,97.0,97.0,1600,155200.0,01-DEC-2022,2,IN002022Y294,
2,182D151222,TB,99.6,99.6,99.5,99.5,99.5,99.5,4900,487560.0,01-DEC-2022,4,IN002022Y112,
3,20MICRONS,EQ,93.7,95.5,92.65,93.2,93.5,93.25,117753,11033794.55,01-DEC-2022,1969,INE144J01027,
4,21STCENMGM,EQ,22.1,22.75,22.1,22.45,22.75,22.35,5754,129090.65,01-DEC-2022,80,INE253B01015,
5,364D070923,TB,95.0,95.0,95.0,95.0,95.0,95.0,300,28500.0,01-DEC-2022,1,IN002022Z234,
6,364D091123,TB,94.5,94.5,94.5,94.5,94.5,94.5,100,9450.0,01-DEC-2022,1,IN002022Z325,
7,364D121023,TB,94.5,94.5,94.5,94.5,94.5,94.5,200,18900.0,01-DEC-2022,2,IN002022Z283,
8,364D161123,TB,93.67,93.67,93.67,93.67,93.67,93.67,100,9367.0,01-DEC-2022,1,IN002022Z333,
9,364D170823,TB,95.0,95.0,95.0,95.0,95.0,95.0,100,9500.0,01-DEC-2022,1,IN002022Z200,
10,3IINFOLTD,EQ,42.75,43.9,42.7,42.9,42.95,42.45,493621,21278416.4,01-DEC-2022,3094,INE748C01038,
11,3MINDIA,EQ,23549.0,23549.0,23300.0,23386.95,23397.0,23353.5,2182,51004075.3,01-DEC-2022,1566,INE470A01017,
12,3PLAND,EQ,17.15,17.85,16.75,17.5,17.25,17.1,10077,174864.15,01-DEC-2022,209,INE105C01023,
13,426GS2023,GS,98.9,98.9,98.9,98.9,98.9,98.9,100,9890.0,01-DEC-2022,1,IN0020210046,
14,4THDIM,EQ,87.8,87.8,86.15,87.7,87.8,86.1,169406,14807498.65,01-DEC-2022,267,INE382T01022,
15,574GS2026,GS,95.95,95.95,95.85,95.85,95.85,96.0,500,47935.0,01-DEC-2022,2,IN0020210186,
16,5PAISA,EQ,317.25,318.0,310.35,314.65,314.5,313.15,18251,5729106.75,01-DEC-2022,1143,INE618L01018,
17,63MOONS,EQ,153.0,157.0,151.0,152.4,151.1,152.35,66564,10280772.95,01-DEC-2022,1525,INE111B01023,
18,664GS2035,GS,99.0,99.0,99.0,99.0,99.0,95.88,500,49500.0,01-DEC-2022,1,IN0020210020,
