,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,Unnamed: 13
0,20MICRONS,EQ,95.2,95.25,93.8,94.4,95.0,94.9,69166,6525955.8,17-NOV-2022,2358,INE144J01027,
1,21STCENMGM,EQ,21.65,22.25,21.65,22.05,21.75,21.9,7944,173571.65,17-NOV-2022,112,INE253B01015,
2,364D021123,TB,97.0,98.0,97.0,98.0,98.0,93.68,200,19500.0,17-NOV-2022,2,IN002022Z317,
3,364D091123,TB,94.5,94.5,94.5,94.5,94.5,93.52,100,9450.0,17-NOV-2022,1,IN002022Z325,
4,3IINFOLTD,EQ,42.1,42.6,41.4,41.9,42.05,42.1,282735,11915026.75,17-NOV-2022,2128,INE748C01038,
5,3MINDIA,EQ,24000.0,24170.95,23839.75,24004.75,23995.0,24014.6,2679,64293000.1,17-NOV-2022,1333,INE470A01017,
6,3PLAND,EQ,16.5,17.9,16.1,17.45,17.2,16.65,8053,138918.9,17-NOV-2022,109,INE105C01023,
7,3RDROCK,IT,64.6,64.6,64.6,64.6,0.0,64.6,5200,335920.0,17-NOV-2022,1,INE768P01012,
8,4THDIM,EQ,83.3,86.4,83.3,86.1,86.2,85.0,7681,653697.55,17-NOV-2022,123,INE382T01022,
9,5PAISA,EQ,319.0,319.0,310.0,311.95,314.95,315.6,13513,4238349.1,17-NOV-2022,1193,INE618L01018,
10,610GS2031,GS,94.0,94.0,94.0,94.0,94.0,93.0,100,9400.0,17-NOV-2022,1,IN0020210095,
11,63MOONS,EQ,153.3,153.95,151.0,151.55,151.1,153.25,32640,4973931.25,17-NOV-2022,980,INE111B01023,
12,667GS2035,GS,97.0,97.0,97.0,97.0,97.0,96.75,808,78376.0,17-NOV-2022,2,IN0020210152,
13,667GS2050,GS,96.75,96.75,96.75,96.75,96.75,96.85,1,96.75,17-NOV-2022,1,IN0020200252,
14,669GS2024,GS,101.8,101.8,101.8,101.8,101.8,101.8,100,10180.0,17-NOV-2022,1,IN0020220052,
15,699GS2051,GS,97.05,97.5,97.0,97.5,97.5,97.0,1050,101875.05,17-NOV-2022,5,IN0020210194,
16,710GS2029,GS,100.99,101.0,100.5,100.98,100.98,100.0,4000,403560.0,17-NOV-2022,5,IN0020220011,
17,719GS2060,GS,98.5,98.5,98.5,98.5,98.5,98.5,400,39400.0,17-NOV-2022,4,IN0020200039,
18,726GS2032,GS,101.7,102.35,101.7,102.35,102.35,101.8,9155,936119.25,17-NOV-2022,6,IN0020220060,
19,736GS2052,GS,100.25,100.25,100.25,100.25,100.25,100.94,100,10025.0,17-NOV-2022,1,IN0020220086,
20,738GS2027,GS,104.46,104.75,104.2,104.56,104.5,104.46,3749,391713.5,17-NOV-2022,10,IN0020220037,
21,74GS2062,GS,100.15,100.7,100.15,100.65,100.65,100.25,10000,1003590.0,17-NOV-2022,7,IN0020220094,
22,754GS2036,GS,105.5,105.6,105.43,105.5,105.5,105.5,49160,5185885.0,17-NOV-2022,29,IN0020220029,
23,91D020223,TB,98.51,98.51,98.3,98.3,98.3,98.0,1100,108151.0,17-NOV-2022,2,IN002022X312,
24,91D050123,TB,98.04,98.04,98.03,98.03,98.03,98.04,5000,490156.0,17-NOV-2022,3,IN002022X270,
25,91D081222,TB,99.05,99.05,99.05,99.05,99.05,99.05,100,9905.0,17-NOV-2022,1,IN002022X239,
26,92GS2030,GS,119.0,119.0,119.0,119.0,119.0,115.0,200,23800.0,17-NOV-2022,1,IN0020130053,
27,A2ZINFRA,EQ,10.4,11.45,10.25,10.7,10.75,10.45,382590,4040753.4,17-NOV-2022,656,INE619I01012,
28,AAKASH,EQ,9.6,9.6,8.85,8.9,9.0,9.3,1121885,10058452.6,17-NOV-2022,1880,INE087Z01024,
29,AAREYDRUGS,EQ,37.35,37.35,36.8,36.9,36.8,37.35,23877,884839.5,17-NOV-2022,182,INE198H01019,
30,AARON,BE,164.95,164.95,160.0,160.35,160.0,163.7,3356,539899.0,17-NOV-2022,149,INE721Z01010,
31,AARTIDRUGS,EQ,454.1,463.7,452.2,457.85,458.8,457.55,60765,27918577.15,17-NOV-2022,5944,INE767A01016,
32,AARTIIND,EQ,672.0,678.0,654.0,655.6,655.0,676.7,1051382,694256476.3,17-NOV-2022,47554,INE769A01020,
33,AARTISURF,EQ,721.3,734.95,720.2,721.9,721.7,727.3,3358,2435773.45,17-NOV-2022,706,INE09EO01013,
34,AARVEEDEN,EQ,24.9,26.8,23.8,25.65,25.4,24.15,90367,2351003.15,17-NOV-2022,689,INE273D01019,
