,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,Unnamed: 13
0,182D230323,TB,97.05,97.05,97.05,97.05,97.05,97.05,300,29115.0,07-DEC-2022,1,IN002022Y260,
1,20MICRONS,EQ,94.2,102.0,93.1,98.85,99.8,93.8,720257,71319420.0,07-DEC-2022,11778,INE144J01027,
2,21STCENMGM,EQ,22.15,23.0,22.15,22.85,23.0,22.55,7804,178462.0,07-DEC-2022,90,INE253B01015,
3,364D301123,TB,93.5,93.5,93.5,93.5,93.5,93.51,100,9350.0,07-DEC-2022,1,IN002022Z358,
4,3IINFOLTD,EQ,42.65,43.15,41.75,42.25,42.25,42.5,380511,16179528.1,07-DEC-2022,2198,INE748C01038,
5,3MINDIA,EQ,23149.0,23349.65,22851.0,22996.55,22851.6,23086.25,1918,44268357.6,07-DEC-2022,1000,INE470A01017,
6,3PLAND,EQ,18.1,18.15,17.05,17.65,17.7,17.4,6826,119009.45,07-DEC-2022,163,INE105C01023,
7,4THDIM,BE,92.8,94.65,92.8,94.65,94.65,92.8,102056,9657265.8,07-DEC-2022,425,INE382T01022,
8,563GS2026,GS,95.95,95.95,95.95,95.95,95.95,95.72,510,48934.5,07-DEC-2022,2,IN0020210012,
9,577GS2030,GS,92.32,92.32,92.32,92.32,92.32,92.32,100,9232.0,07-DEC-2022,1,IN0020200153,
10,5PAISA,EQ,335.0,350.9,325.4,330.95,328.0,328.45,314028,105897111.0,07-DEC-2022,9086,INE618L01018,
11,618GS2024,GS,99.3,99.3,99.3,99.3,99.3,99.35,100,9930.0,07-DEC-2022,1,IN0020190396,
12,63MOONS,EQ,155.05,157.95,151.55,152.35,151.6,156.25,41258,6366690.8,07-DEC-2022,1835,INE111B01023,
13,654GS2032,GS,100.8,100.8,100.75,100.77,100.75,101.0,2,201.55,07-DEC-2022,2,IN0020210244,
14,667GS2050,GS,96.19,96.19,94.0,94.0,94.0,93.12,13,1227.91,07-DEC-2022,7,IN0020200252,
15,695GS2061,GS,97.26,97.88,97.26,97.85,97.85,97.88,443,43093.96,07-DEC-2022,5,IN0020210202,
16,699GS2051,GS,99.97,99.97,99.97,99.97,99.97,100.0,1,99.97,07-DEC-2022,1,IN0020210194,
17,710GS2029,GS,100.88,100.88,100.4,100.57,100.6,100.88,5130,515478.3,07-DEC-2022,10,IN0020220011,
18,716GS2050,GS,98.81,98.81,98.5,98.5,98.5,98.81,101018,9950294.7,07-DEC-2022,13,IN0020200054,
19,736GS2052,GS,102.0,102.0,102.0,102.0,102.0,101.95,11,1122.0,07-DEC-2022,2,IN0020220086,
20,738GS2027,GS,102.1,104.75,102.1,104.75,104.75,104.35,2353,242213.1,07-DEC-2022,9,IN0020220037,
21,74GS2062,GS,102.45,102.45,102.45,102.45,102.45,101.62,16,1639.2,07-DEC-2022,2,IN0020220094,
22,754GS2036,GS,102.75,102.75,102.1,102.19,102.2,102.37,80487,8229089.11,07-DEC-2022,69,IN0020220029,
23,757GS2033,GS,96.96,96.96,96.96,96.96,96.96,102.0,300,29088.0,07-DEC-2022,1,IN0020190065,
24,768GS2023,GS,104.51,104.51,104.51,104.51,104.51,104.08,10749,1123377.99,07-DEC-2022,1,IN0020150010,
25,91D020323,TB,98.04,98.04,98.04,98.04,98.04,98.02,100,9804.0,07-DEC-2022,1,IN002022X353,
