,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,Unnamed: 13
0,20MICRONS,EQ,99.95,100.7,95.9,96.65,96.5,99.3,175541,17209219.6,09-DEC-2022,3610,INE144J01027,
1,21STCENMGM,EQ,22.6,23.05,22.35,22.9,22.9,22.6,6192,140486.1,09-DEC-2022,73,INE253B01015,
2,364D091123,TB,94.0,94.0,94.0,94.0,94.0,93.4,100,9400.0,09-DEC-2022,1,IN002022Z325,
3,364D130723,TB,95.05,95.85,95.05,95.85,95.85,94.55,1500,143295.0,09-DEC-2022,4,IN002022Z150,
4,3IINFOLTD,EQ,42.45,42.55,41.5,41.65,41.7,42.15,331890,13886308.05,09-DEC-2022,2470,INE748C01038,
5,3MINDIA,EQ,23099.0,23400.0,22899.95,23120.3,23150.0,22909.45,2013,46626511.35,09-DEC-2022,1258,INE470A01017,
6,3PLAND,EQ,17.5,17.8,16.85,17.2,17.3,17.5,8079,139944.95,09-DEC-2022,199,INE105C01023,
7,4THDIM,BE,98.3,98.4,95.7,98.1,98.0,96.5,139771,13716823.8,09-DEC-2022,246,INE382T01022,
8,5PAISA,EQ,335.2,335.2,320.0,324.0,324.8,331.9,27042,8865072.4,09-DEC-2022,1974,INE618L01018,
9,610GS2031,GS,98.7,98.7,98.7,98.7,98.7,94.0,1,98.7,09-DEC-2022,1,IN0020210095,
10,618GS2024,GS,94.37,94.37,94.37,94.37,94.37,99.3,200,18874.0,09-DEC-2022,1,IN0020190396,
11,63MOONS,EQ,159.05,159.95,155.7,157.4,157.05,159.2,74943,11798949.8,09-DEC-2022,1893,INE111B01023,
12,664GS2035,GS,94.5,94.5,94.5,94.5,94.5,99.0,1200,113400.0,09-DEC-2022,1,IN0020210020,
13,667GS2035,GS,96.0,96.0,96.0,96.0,96.0,96.96,100,9600.0,09-DEC-2022,2,IN0020210152,
14,667GS2050,GS,96.1,97.06,96.1,97.06,97.06,94.51,1875,180188.46,09-DEC-2022,5,IN0020200252,
15,669GS2024,GS,102.8,103.2,102.8,103.13,103.2,102.76,400,41220.0,09-DEC-2022,3,IN0020220052,
16,695GS2061,GS,98.0,98.0,97.5,97.99,97.99,98.0,1051,102497.99,09-DEC-2022,4,IN0020210202,
17,699GS2051,GS,98.0,98.8,98.0,98.8,98.8,99.9,1550,152020.8,09-DEC-2022,6,IN0020210194,
18,719GS2060,GS,105.55,105.55,105.55,105.55,105.55,105.5,400,42220.0,09-DEC-2022,1,IN0020200039,
19,736GS2052,GS,101.96,101.96,101.96,101.96,101.96,102.5,5000,509800.0,09-DEC-2022,1,IN0020220086,
20,738GS2027,GS,104.73,104.73,104.7,104.72,104.7,104.74,250,26181.0,09-DEC-2022,3,IN0020220037,
21,74GS2062,GS,102.75,102.75,102.25,102.25,102.25,101.8,628,64472.0,09-DEC-2022,3,IN0020220094,
22,754GS2036,GS,103.0,103.0,102.1,102.11,102.1,102.29,130104,13294010.7,09-DEC-2022,127,IN0020220029,
23,759GS2026,GS,103.95,103.95,103.95,103.95,103.95,99.01,20,2079.0,09-DEC-2022,1,IN0020150093,
24,817GS2044,GS,118.76,118.76,118.76,118.76,118.76,118.76,1,118.76,09-DEC-2022,1,IN0020140078,
25,91D020323,TB,98.35,98.35,98.35,98.35,98.35,98.04,100,9835.0,09-DEC-2022,1,IN002022X353,
26,91D090323,TB,98.0,98.0,98.0,98.0,98.0,98.42,100,9800.0,09-DEC-2022,1,IN002022X361,
27,91D230223,TB,98.5,98.5,98.5,98.5,98.5,98.5,100,9850.0,09-DEC-2022,1,IN002022X346,
28,A2ZINFRA,EQ,11.05,11.25,10.65,10.9,10.9,11.05,359917,3928515.75,09-DEC-2022,607,INE619I01012,
29,AAATECH,EQ,70.0,70.0,62.9,63.35,64.9,68.9,31854,2086986.85,09-DEC-2022,723,INE0D0U01013,
30,AAKASH,EQ,7.3,7.3,6.95,7.0,7.05,7.15,993430,7010989.35,09-DEC-2022,1246,INE087Z01024,
31,AAREYDRUGS,EQ,38.75,38.75,37.6,38.2,38.2,38.2,18862,717132.7,09-DEC-2022,245,INE198H01019,
32,AARON,EQ,172.5,180.0,168.55,169.9,169.35,172.05,5406,932898.05,09-DEC-2022,178,INE721Z01010,
33,AARTIDRUGS,EQ,462.4,463.1,453.65,457.35,458.0,460.0,36379,16635182.6,09-DEC-2022,2981,INE767A01016,
34,AARTIIND,EQ,666.5,666.5,653.1,657.45,657.8,662.05,400531,264258969.35,09-DEC-2022,24967,INE769A01020,
35,AARTISURF,EQ,702.6,709.0,695.0,698.35,701.5,704.2,9047,6354088.4,09-DEC-2022,1198,INE09EO01013,
36,AARVEEDEN,EQ,27.3,27.55,25.55,26.3,27.0,27.0,30732,815083.4,09-DEC-2022,406,INE273D01019,
37,AARVI,EQ,187.0,188.7,183.05,184.55,185.0,185.85,14865,2742568.45,09-DEC-2022,476,INE754X01016,
38,AAVAS,EQ,1950.0,1950.0,1929.7,1936.4,1935.0,1936.6,24011,46514794.15,09-DEC-2022,4180,INE216P01012,
39,ABAN,EQ,50.2,50.5,48.25,48.9,50.0,49.9,226551,11157099.65,09-DEC-2022,3249,INE421A01028,
40,ABB,EQ,3010.0,3035.8,2940.0,2976.65,2970.0,2988.35,329565,987557209.8,09-DEC-2022,24499,INE117A01022,
41,ABBOTINDIA,EQ,20402.0,20749.0,20300.0,20436.15,20500.0,20387.1,14234,292397753.1,09-DEC-2022,5345,INE358A01014,
42,ABCAPITAL,EQ,161.6,161.6,153.35,156.0,156.35,160.8,7830852,1225787902.85,09-DEC-2022,38626,INE674K01013,
43,ABCOTS,SM,49.0,49.0,49.0,49.0,49.0,49.1,4000,196000.0,09-DEC-2022,1,INE08PH01015,
44,ABFRL,EQ,313.8,316.0,308.8,313.45,313.0,312.95,1505850,471387766.6,09-DEC-2022,19383,INE647O01011,
45,ABMINTLLTD,BE,69.0,69.0,68.9,68.9,68.9,66.5,170,11716.75,09-DEC-2022,5,INE251C01025,
46,ABSLAMC,EQ,442.75,451.5,442.5,449.55,450.0,442.75,167318,74902228.1,09-DEC-2022,4841,INE404A01024,
47,ABSLBANETF,EQ,44.65,44.65,42.85,43.66,43.65,43.74,9819,429517.32,09-DEC-2022,239,INF209KB17D5,
48,ABSLNN50ET,EQ,46.0,46.0,44.7,44.79,44.9,45.24,5544,249954.3,09-DEC-2022,163,INF209KB16D7,
49,ACC,EQ,2638.0,2642.4,2594.9,2619.5,2626.9,2621.25,491049,1284763780.8,09-DEC-2022,27649,INE012A01025,
50,ACCELYA,EQ,1566.0,1590.0,1525.0,1540.4,1539.5,1564.75,36688,56820390.2,09-DEC-2022,5189,INE793A01012,
51,ACCURACY,EQ,178.0,180.75,173.2,176.5,176.95,178.0,16849,2970160.75,09-DEC-2022,673,INE648Z01015,
52,ACE,EQ,340.65,351.9,323.5,329.4,329.45,340.1,944824,319479808.9,09-DEC-2022,21174,INE731H01025,
53,ACEINTEG,EQ,53.8,56.9,53.8,56.7,55.45,55.4,6069,331775.9,09-DEC-2022,58,INE543V01017,
54,ACI,EQ,530.55,534.45,516.4,521.2,520.0,527.9,235446,123897882.0,09-DEC-2022,9545,INE128X01021,
55,ADANIENT,EQ,4044.0,4094.0,3941.5,3996.8,3995.6,4025.0,2129800,8562377224.6,09-DEC-2022,79946,INE423A01024,
56,ADANIGREEN,EQ,2063.0,2065.0,2015.0,2053.45,2052.95,2052.7,395043,807014729.15,09-DEC-2022,27212,INE364U01010,
57,ADANIPORTS,EQ,896.05,912.0,882.2,890.75,889.95,892.9,6979639,6272055829.4,09-DEC-2022,111919,INE742F01042,
58,ADANIPOWER,EQ,325.4,325.95,311.0,316.05,315.75,323.75,2958588,944194628.0,09-DEC-2022,61555,INE814H01011,
59,ADANITRANS,EQ,2704.9,2716.6,2630.0,2646.4,2652.0,2691.4,363668,968628586.5,09-DEC-2022,30350,INE931S01010,
60,ADFFOODS,EQ,834.8,838.45,795.05,804.0,802.15,835.15,16333,13280935.35,09-DEC-2022,2607,INE982B01019,
61,ADL,BE,64.3,66.2,63.1,65.9,65.9,64.3,486,31724.35,09-DEC-2022,14,INE0CHO01012,
62,ADORWELD,EQ,882.8,882.8,843.0,864.7,860.05,877.2,14272,12307926.65,09-DEC-2022,1630,INE045A01017,
63,ADROITINFO,EQ,28.8,28.8,26.85,27.85,28.8,26.2,632926,18074134.7,09-DEC-2022,1539,INE737B01033,
64,ADSL,EQ,104.0,104.0,100.5,101.15,101.0,103.4,78227,7994617.55,09-DEC-2022,1761,INE102I01027,
65,ADVANIHOTR,EQ,82.4,82.7,81.2,81.7,82.2,81.35,17993,1472344.1,09-DEC-2022,460,INE199C01026,
