,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,Unnamed: 13
0,20MICRONS,EQ,90.6,93.4,88.5,89.0,89.3,90.6,223790,20294191.7,02-NOV-2022,5012,INE144J01027,
1,21STCENMGM,EQ,23.0,23.4,22.6,22.6,22.6,23.0,6274,143649.05,02-NOV-2022,94,INE253B01015,
2,364D010623,TB,95.01,95.01,95.01,95.01,95.01,96.0,400,38004.0,02-NOV-2022,1,IN002022Z093,
3,364D191023,TB,93.0,93.0,93.0,93.0,93.0,90.15,100,9300.0,02-NOV-2022,1,IN002022Z291,
4,3IINFOLTD,EQ,44.35,44.7,43.6,43.9,44.0,44.25,283660,12517299.25,02-NOV-2022,2631,INE748C01038,
5,3MINDIA,EQ,23234.15,23950.0,23190.0,23408.75,23374.9,23118.55,2781,65426373.95,02-NOV-2022,1725,INE470A01017,
6,3PLAND,EQ,18.6,18.6,17.7,18.05,18.4,18.05,7238,129938.15,02-NOV-2022,93,INE105C01023,
7,4THDIM,EQ,78.55,81.75,78.55,81.75,81.75,80.15,10451,829951.2,02-NOV-2022,106,INE382T01022,
8,574GS2026,GS,90.91,97.08,90.91,93.25,97.08,95.66,10001,925272.39,02-NOV-2022,14,IN0020210186,
9,5PAISA,EQ,323.0,329.95,318.1,321.75,323.45,321.25,38206,12336035.7,02-NOV-2022,1928,INE618L01018,
10,63MOONS,EQ,158.7,163.3,158.05,158.9,158.25,158.9,41030,6520867.3,02-NOV-2022,1262,INE111B01023,
11,654GS2032,GS,96.61,96.75,96.5,96.5,96.5,94.1,3000,289713.32,02-NOV-2022,11,IN0020210244,
12,667GS2035,GS,99.19,99.19,98.2,98.5,98.5,99.19,16,1575.07,02-NOV-2022,4,IN0020210152,
13,667GS2050,GS,95.45,95.45,95.45,95.45,95.45,95.33,9,859.05,02-NOV-2022,3,IN0020200252,
14,676GS2061,GS,97.0,97.0,95.0,95.0,95.0,95.0,3003,285289.01,02-NOV-2022,4,IN0020200401,
15,695GS2061,GS,97.5,97.5,97.5,97.5,97.5,97.25,2600,253500.0,02-NOV-2022,1,IN0020210202,
16,699GS2051,GS,97.5,99.99,97.5,97.5,97.5,101.5,201,19599.99,02-NOV-2022,4,IN0020210194,
17,710GS2029,GS,100.25,100.25,100.25,100.25,100.25,100.07,1000,100250.0,02-NOV-2022,1,IN0020220011,
18,736GS2052,GS,100.14,100.14,100.0,100.0,100.0,99.65,3059,306250.0,02-NOV-2022,4,IN0020220086,
19,74GS2062,GS,100.75,100.75,99.75,99.92,100.0,100.0,11063,1106292.7,02-NOV-2022,12,IN0020220094,
20,754GS2036,GS,104.5,104.5,104.0,104.0,104.0,104.21,44950,4681687.56,02-NOV-2022,50,IN0020220029,
21,75GS2034,GS,102.0,102.0,101.94,101.94,101.94,102.0,3917,399316.98,02-NOV-2022,2,IN0020040039,
22,91D171122,TB,99.03,99.06,99.01,99.06,99.06,97.01,1700,168355.0,02-NOV-2022,4,IN002022X205,
23,A2ZINFRA,EQ,10.15,10.5,10.05,10.15,10.1,10.05,142401,1453474.25,02-NOV-2022,342,INE619I01012,
24,AAATECH,SM,69.3,69.3,69.3,69.3,69.3,66.0,4500,311850.0,02-NOV-2022,1,INE0D0U01013,
25,AAKASH,EQ,9.95,10.35,9.9,10.35,10.35,9.9,671624,6863704.05,02-NOV-2022,1002,INE087Z01024,
26,AAREYDRUGS,EQ,38.35,38.35,37.35,37.45,38.0,38.35,22567,853614.85,02-NOV-2022,249,INE198H01019,
27,AARON,BE,157.95,159.9,154.0,154.65,158.0,155.55,4019,627258.65,02-NOV-2022,132,INE721Z01010,
28,AARTIDRUGS,EQ,476.5,477.95,464.65,468.8,468.0,474.3,54492,25710166.3,02-NOV-2022,3056,INE767A01016,
29,AARTIIND,EQ,720.0,730.0,719.05,724.5,724.5,718.5,443255,321447012.35,02-NOV-2022,14110,INE769A01020,
30,AARTISURF,EQ,792.0,798.9,771.1,777.8,776.0,791.75,11575,9071727.35,02-NOV-2022,1313,INE09EO01013,
31,AARVEEDEN,EQ,25.35,25.6,24.9,25.15,25.0,25.3,7739,194822.5,02-NOV-2022,73,INE273D01019,
32,AARVI,EQ,158.75,158.85,153.4,154.25,155.0,156.65,26083,4058942.75,02-NOV-2022,603,INE754X01016,
33,AAVAS,EQ,1981.9,1981.9,1952.25,1960.7,1955.75,1981.9,45890,90096196.5,02-NOV-2022,10278,INE216P01012,
34,ABAN,EQ,49.9,52.6,49.5,50.75,50.5,49.7,297796,15245355.15,02-NOV-2022,2893,INE421A01028,
35,ABB,EQ,3161.0,3185.0,3136.95,3170.85,3172.0,3152.15,199216,630307805.55,02-NOV-2022,17320,INE117A01022,
36,ABBOTINDIA,EQ,19709.9,19709.9,19422.15,19609.3,19520.0,19685.95,10944,213865201.05,02-NOV-2022,3064,INE358A01014,
37,ABCAPITAL,EQ,118.7,118.7,116.75,117.95,118.05,118.25,1654896,194988071.8,02-NOV-2022,14445,INE674K01013,
38,ABFRL,EQ,358.15,358.25,349.0,351.6,351.0,358.15,1710006,602607125.8,02-NOV-2022,21559,INE647O01011,
39,ABINFRA,SM,14.0,14.0,14.0,14.0,14.0,14.25,4000,56000.0,02-NOV-2022,1,INE00YB01017,
40,ABMINTLLTD,BE,73.0,74.0,73.0,73.95,73.95,71.6,681,50280.7,02-NOV-2022,6,INE251C01025,
41,ABSLAMC,EQ,416.0,426.3,413.25,425.7,423.0,413.1,124720,52716402.6,02-NOV-2022,3628,INE404A01024,
42,ABSLBANETF,EQ,47.99,47.99,41.03,41.3,41.25,41.32,5165,213603.26,02-NOV-2022,116,INF209KB17D5,
43,ABSLNN50ET,EQ,44.95,44.95,43.39,44.24,44.24,44.21,2310,102108.43,02-NOV-2022,96,INF209KB16D7,
44,ACC,EQ,2430.0,2453.05,2415.0,2440.0,2435.9,2428.05,460821,1123136715.7,02-NOV-2022,21675,INE012A01025,
45,ACCELYA,EQ,1266.0,1353.0,1260.0,1334.05,1340.0,1269.75,158273,208716096.65,02-NOV-2022,10963,INE793A01012,
46,ACCURACY,EQ,229.2,232.7,221.7,225.85,227.8,232.7,10497,2390912.0,02-NOV-2022,604,INE648Z01015,
47,ACE,EQ,306.4,307.65,292.2,299.45,299.75,306.4,571587,170573951.5,02-NOV-2022,16286,INE731H01025,
48,ACRYSIL,EQ,566.0,571.75,558.0,561.55,560.0,565.1,71807,40605765.55,02-NOV-2022,5188,INE482D01024,
49,ADANIENT,EQ,3580.0,3625.15,3526.0,3580.7,3570.5,3575.7,2534755,9061882642.5,02-NOV-2022,103751,INE423A01024,
50,ADANIGREEN,EQ,2129.0,2148.0,2111.0,2137.05,2139.0,2121.25,912280,1947685431.1,02-NOV-2022,33531,INE364U01010,
51,ADANIPORTS,EQ,850.0,850.0,829.0,833.4,830.0,841.8,11859603,9925998057.25,02-NOV-2022,142669,INE742F01042,
52,ADANIPOWER,BE,350.0,353.8,337.6,343.15,342.65,348.9,1677538,578672067.15,02-NOV-2022,29205,INE814H01011,
53,ADANITRANS,EQ,3350.0,3355.0,3282.0,3308.6,3302.0,3342.45,595988,1971248827.15,02-NOV-2022,27728,INE931S01010,
54,ADFFOODS,EQ,715.0,715.0,708.0,710.05,708.0,711.45,2601,1846917.35,02-NOV-2022,372,INE982B01019,
55,ADL,BE,62.0,65.95,62.0,63.9,63.9,64.7,520,33747.85,02-NOV-2022,17,INE0CHO01012,
56,ADORWELD,EQ,855.0,930.0,855.0,912.9,912.1,856.9,25114,22710672.5,02-NOV-2022,2909,INE045A01017,
57,ADROITINFO,EQ,18.75,18.75,17.6,17.7,17.6,18.5,27657,496552.95,02-NOV-2022,122,INE737B01033,
58,ADSL,EQ,100.6,102.9,100.05,100.9,100.2,100.6,65986,6675702.5,02-NOV-2022,1238,INE102I01027,
59,ADVANIHOTR,EQ,83.0,83.85,82.5,83.15,83.15,82.65,21605,1794602.8,02-NOV-2022,399,INE199C01026,
60,ADVENZYMES,EQ,284.25,292.45,284.0,287.15,285.0,284.0,117588,33945932.45,02-NOV-2022,5317,INE837H01020,
61,AEGISCHEM,EQ,311.85,316.65,307.25,310.45,311.0,310.25,513472,159878622.5,02-NOV-2022,14642,INE208C01025,
62,AETHER,EQ,961.0,980.0,952.1,955.25,953.0,955.3,28211,27067886.25,02-NOV-2022,2803,INE0BWX01014,
63,AFFLE,EQ,1165.0,1171.45,1156.35,1166.15,1162.5,1160.2,101899,118658737.85,02-NOV-2022,12187,INE00WC01027,
64,AGARIND,EQ,686.9,691.45,676.3,679.5,677.15,685.05,32607,22256717.85,02-NOV-2022,3024,INE204E01012,
65,AGI,EQ,335.0,335.0,325.6,328.2,328.1,335.85,177567,58449750.7,02-NOV-2022,6004,INE415A01038,
66,AGNI,SM,23.35,23.5,23.35,23.5,23.5,23.8,20000,468500.0,02-NOV-2022,2,INE0LF301013,
67,AGRITECH,EQ,108.7,112.65,98.55,105.35,105.45,108.65,15945,1670561.05,02-NOV-2022,546,INE449G01018,
68,AGROPHOS,EQ,36.7,39.45,36.1,39.45,39.45,35.9,159264,6178763.55,02-NOV-2022,776,INE740V01019,
69,AGSTRA,EQ,81.75,83.9,79.8,80.35,80.7,81.25,439832,36042669.85,02-NOV-2022,5826,INE583L01014,
70,AHLADA,BE,104.75,108.45,99.0,106.95,105.0,103.3,11193,1172536.95,02-NOV-2022,107,INE00PV01013,
71,AHLEAST,BE,133.8,133.8,128.3,131.2,133.0,132.8,3513,462354.05,02-NOV-2022,78,INE926K01017,
72,AHLUCONT,EQ,441.95,441.95,429.05,433.65,435.2,437.45,5377,2335303.55,02-NOV-2022,740,INE758C01029,
73,AIAENG,EQ,2700.95,2814.0,2685.0,2773.7,2753.0,2699.65,84689,233980777.25,02-NOV-2022,17006,INE212H01026,
74,AIRAN,EQ,17.5,17.7,17.35,17.6,17.7,17.35,91602,1604732.65,02-NOV-2022,423,INE645W01026,
75,AIROLAM,EQ,107.0,109.8,105.05,106.25,107.45,107.1,22363,2401661.65,02-NOV-2022,616,INE801L01010,
76,AIRTELPP,E1,439.95,444.8,420.0,421.6,422.0,440.9,1031663,438642062.25,02-NOV-2022,5903,IN9397D01014,
77,AJANTPHARM,EQ,1315.0,1357.95,1307.0,1347.75,1345.0,1323.3,77345,103951705.45,02-NOV-2022,9891,INE031B01049,
78,AJMERA,EQ,242.3,245.1,241.55,241.9,242.2,241.55,4994,1213332.9,02-NOV-2022,215,INE298G01027,
79,AJOONI,EQ,6.95,7.05,6.8,6.9,6.8,6.9,90275,624788.3,02-NOV-2022,319,INE820Y01021,
80,AJRINFRA,EQ,1.5,1.55,1.45,1.5,1.5,1.5,453885,679121.1,02-NOV-2022,344,INE181G01025,
81,AKASH,EQ,37.25,37.55,36.05,36.45,36.85,36.75,9665,355480.8,02-NOV-2022,182,INE737W01013,
82,AKG,BE,55.05,57.25,55.05,56.7,56.95,56.25,3151,176318.85,02-NOV-2022,28,INE00Y801016,
83,AKSHAR,EQ,29.75,32.7,29.65,31.85,32.3,31.15,122064,3855770.9,02-NOV-2022,1137,INE256Z01017,
84,AKSHARCHEM,EQ,328.65,333.7,325.6,327.45,326.0,327.3,3764,1237484.7,02-NOV-2022,248,INE542B01011,
85,AKSHOPTFBR,EQ,10.5,10.7,10.3,10.35,10.4,10.55,379344,3966620.35,02-NOV-2022,577,INE523B01011,
86,AKZOINDIA,EQ,2162.1,2168.3,2130.25,2148.4,2131.5,2145.25,2884,6222122.1,02-NOV-2022,708,INE133A01011,
87,ALANKIT,EQ,11.2,11.2,11.05,11.05,11.1,11.1,141955,1576837.8,02-NOV-2022,403,INE914E01040,
88,ALBERTDAVD,EQ,553.05,569.85,553.05,568.7,569.8,555.5,3924,2214865.85,02-NOV-2022,201,INE155C01010,
89,ALEMBICLTD,EQ,70.55,72.95,70.3,71.75,71.55,70.25,373846,26884641.25,02-NOV-2022,4672,INE426A01027,
90,ALICON,EQ,887.0,887.0,862.0,864.15,863.5,874.1,5648,4915088.9,02-NOV-2022,566,INE062D01024,
91,ALKALI,EQ,133.35,143.7,132.3,136.5,135.9,136.65,231595,32035002.3,02-NOV-2022,5290,INE773I01017,
92,ALKEM,EQ,3239.0,3325.0,3227.05,3311.0,3310.0,3226.65,161278,532168067.9,02-NOV-2022,16314,INE540L01014,
93,ALKYLAMINE,EQ,2959.0,2980.0,2950.0,2971.8,2970.0,2959.45,18260,54197607.1,02-NOV-2022,4373,INE150B01039,
94,ALLCARGO,EQ,428.45,428.45,418.0,422.15,422.8,426.25,480740,202890747.85,02-NOV-2022,13960,INE418H01029,
95,ALLSEC,EQ,549.95,549.95,536.0,540.1,541.0,536.85,38854,20978636.2,02-NOV-2022,1819,INE835G01018,
96,ALMONDZ,EQ,80.45,81.75,80.15,80.4,80.4,80.45,3023,243866.25,02-NOV-2022,70,INE326B01027,
97,ALOKINDS,BE,15.4,16.1,15.4,16.1,16.1,15.35,2477761,39528329.75,02-NOV-2022,5350,INE270A01029,
98,ALPA,EQ,58.55,59.1,57.75,58.2,57.75,58.4,31491,1840343.95,02-NOV-2022,469,INE385I01010,
99,ALPHAGEO,EQ,283.95,288.65,280.1,284.3,285.5,280.5,12012,3419676.55,02-NOV-2022,831,INE137C01018,
100,ALPSINDUS,EQ,2.3,2.3,2.15,2.3,2.3,2.2,49272,113075.6,02-NOV-2022,39,INE093B01015,
101,AMARAJABAT,EQ,515.3,517.0,510.25,513.35,513.0,515.3,332086,170576769.05,02-NOV-2022,10140,INE885A01032,
102,AMBER,EQ,2071.45,2071.45,2010.0,2015.65,2018.0,2061.1,57952,117641853.1,02-NOV-2022,11723,INE371P01015,
103,AMBICAAGAR,BE,31.8,33.3,31.0,32.5,32.5,31.8,54544,1778073.2,02-NOV-2022,218,INE792B01012,
