,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,Unnamed: 13
0,20MICRONS,EQ,95.6,98.5,92.2,93.05,93.0,94.4,106022,9942184.6,18-NOV-2022,3561,INE144J01027,
1,21STCENMGM,EQ,22.0,22.4,21.7,22.2,22.3,22.05,4849,106776.1,18-NOV-2022,62,INE253B01015,
2,364D030823,TB,98.7,98.7,95.0,95.0,95.0,94.01,1200,117700.0,18-NOV-2022,3,IN002022Z184,
3,364D161123,TB,93.71,93.71,93.71,93.71,93.71,93.58,35000,3279850.0,18-NOV-2022,3,IN002022Z333,
4,3IINFOLTD,EQ,42.2,42.3,41.65,41.95,42.1,41.9,172371,7226094.95,18-NOV-2022,1367,INE748C01038,
5,3MINDIA,EQ,24124.8,24349.0,23957.25,24316.05,24260.0,24004.75,3550,86093596.7,18-NOV-2022,1772,INE470A01017,
6,3PLAND,EQ,17.8,17.8,17.0,17.05,17.0,17.45,1876,32165.05,18-NOV-2022,54,INE105C01023,
7,426GS2023,GS,100.0,100.0,100.0,100.0,100.0,100.0,1,100.0,18-NOV-2022,1,IN0020210046,
8,4THDIM,EQ,87.8,87.8,84.4,87.55,87.5,86.1,6381,554292.95,18-NOV-2022,89,INE382T01022,
9,5PAISA,EQ,317.0,317.0,311.0,314.55,315.6,311.95,13838,4343581.15,18-NOV-2022,1467,INE618L01018,
10,63MOONS,EQ,153.35,153.35,147.3,148.65,148.4,151.55,47819,7152914.0,18-NOV-2022,1536,INE111B01023,
11,667GS2035,GS,97.1,97.1,97.1,97.1,97.1,97.0,100,9710.0,18-NOV-2022,1,IN0020210152,
12,667GS2050,GS,96.75,96.75,96.75,96.75,96.75,96.75,1,96.75,18-NOV-2022,1,IN0020200252,
13,669GS2024,GS,102.2,102.6,102.2,102.3,102.6,101.8,23448,2399018.1,18-NOV-2022,9,IN0020220052,
14,699GS2051,GS,99.5,99.5,98.5,98.5,98.5,97.5,2901,287698.5,18-NOV-2022,4,IN0020210194,
15,710GS2029,GS,100.9,100.9,100.9,100.9,100.9,100.98,650,65585.0,18-NOV-2022,2,IN0020220011,
16,719GS2060,GS,99.5,103.4,99.5,103.4,103.4,98.5,700,71170.0,18-NOV-2022,4,IN0020200039,
17,726GS2032,GS,102.0,102.01,101.65,101.65,101.65,102.35,23696,2416962.0,18-NOV-2022,10,IN0020220060,
18,738GS2027,GS,104.5,104.5,104.1,104.37,104.1,104.56,17381,1813546.9,18-NOV-2022,19,IN0020220037,
19,74GS2062,GS,101.05,101.09,101.05,101.09,101.09,100.65,1200,121297.2,18-NOV-2022,2,IN0020220094,
20,754GS2036,GS,105.5,105.65,105.0,105.49,105.5,105.5,33270,3509973.7,18-NOV-2022,36,IN0020220029,
21,75GS2034,GS,102.0,102.0,102.0,102.0,102.0,102.25,30,3060.0,18-NOV-2022,1,IN0020040039,
22,91D151222,TB,99.2,99.2,99.2,99.2,99.2,99.0,100,9920.0,18-NOV-2022,1,IN002022X247,
23,A2ZINFRA,EQ,10.8,10.8,10.25,10.35,10.35,10.7,496127,5217398.95,18-NOV-2022,585,INE619I01012,
24,AAKASH,EQ,9.1,9.25,8.5,8.5,8.6,8.9,1911191,16561317.7,18-NOV-2022,2209,INE087Z01024,
25,AAREYDRUGS,EQ,37.1,38.25,36.2,36.75,36.7,36.9,32812,1207919.1,18-NOV-2022,405,INE198H01019,
26,AARON,BE,155.1,163.9,155.1,159.4,160.9,160.35,3642,577992.55,18-NOV-2022,110,INE721Z01010,
27,AARTIDRUGS,EQ,457.0,465.65,455.0,463.85,464.5,457.85,119651,55330130.0,18-NOV-2022,7110,INE767A01016,
28,AARTIIND,EQ,659.1,663.0,646.85,653.4,654.25,655.6,709470,464262071.75,18-NOV-2022,25919,INE769A01020,
29,AARTISURF,EQ,728.3,730.35,710.1,714.3,713.2,721.9,3992,2872243.1,18-NOV-2022,620,INE09EO01013,
